"Data de referência dos dados: 01 de outubro de 2020","","","","","","","","","","","","","","","","","","","",""
"Empreendimento","CEG","UF","Fonte","Fase","Origem","Tipo","Tipo de Atuação","Combustível Final","Entrada em Operação","Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)","Geracao Qualificada","Latitude (GMS)","Longitude (GMS)","Início Vigência","Fim Vigência","Proprietário / Regime de Exploração","Cod e Descrição Sub-Bacia","Município (s)"
"14 de Julho","UHEPHRS000012-4","RS","UHE","Operação","Hídrica","Potencial hidráulico","Concessão","Potencial hidráulico","25/12/2008","100,000.00","100710","47500","Não","29°3'53,136""S","51°40'29,824""W","15-03-2001","15-03-2036","100% para COMPANHIA ENERGÉTICA RIO DAS ANTAS (PIE)","86 - Taquari","Bento Gonçalves - RS, Cotiporã - RS"
"29 de Outubro","UTEPESC029920-0","SC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","07/10/2008","62.00","62","0","Não","26° 29' 9,370"" S","49° 5' 10,100"" W","","","100% para Condomínio Residencial 29 de Outubro (REG)","","Jaraguá do Sul - SC"
"300KVA SCANIA","UTEPEMG032686-0","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/06/2013","240.00","240","0","Não","21°46'53,08""S","46°36'22,97""W","","","100% para Mineração Curimbaba Ltda. (REG)","","Poços de Caldas - MG"
"3M Itapetininga","UTEPESP028642-7","SP","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","12/06/2002","3,840.00","3840","0","Não","23°36'3,19""S","48°5'41,69""W","","","100% para 3M do Brasil Ltda (REG)","","Itapetininga - SP"
"3M Sumaré","UTEPESP028919-1","SP","UTE","Operação","Fóssil","Petróleo","Autorização","Óleo Diesel","01/10/2001","6,400.00","6400","0","Não","22°49'15,73""S","47°11'24,3""W","20-06-2003","20-06-2033","100% para 3M do Brasil Ltda (APE)","","Sumaré - SP"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - AMAPÁ","UTEPEAC032707-7","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","15/01/2013","288.00","288","0","Não","10°0'28,1""S","67°48'6,52""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - AVIÁRIO","UTEPEAC032725-5","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","05/02/2011","272.00","272","0","Não","9°58'6,84""S","67°48'9,48""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - BOSQUE","UTEPEAC032728-0","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","10/12/2010","272.00","272","0","Não","9°57'52,47""S","67°49'14,58""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - CHICO MENDES","UTEPEAC032704-2","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","15/01/2011","272.00","272","0","Não","9°58'57,17""S","67°48'24,02""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - MIX","UTEPEAC032701-8","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","05/01/2013","800.00","800","0","Não","9° 57' 43,75"" S","67°50'50,12""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - PVH","UTEPERO032731-0","RO","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","02/03/2011","600.00","600","0","Não","8°45'59,09""S","63°53'2,85""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Porto Velho - RO"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - RIO DE JANEIRO","UTEPEAC032874-0","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","20/01/2013","400.00","400","0","Não","9°58'23,26""S","67°49'35,02""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"A.C.D.A. IMPORTAÇÃO E EXPORTAÇÃO - VAREJÃO","UTEPEAC032775-1","AC","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","03/04/2011","76.80","76.8","0","Não","9°58'27,17""S","67°48'11,69""W","","","100% para A.C.D.A. Importação e exportação Ltda (REG)","","Rio Branco - AC"
"Abatedouro São Salvador","UTEPEGO028991-4","GO","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","26/01/2002","3,688.00","3688","0","Não","16° 0' 30,280"" S","49° 47' 46,240"" W","","","100% para SAO SALVADOR ALIMENTOS S/A (REG)","","Itaberaí - GO"
"Abaúna","CGHPHRS000015-9","RS","CGH","Operação","Hídrica","Potencial hidráulico","Registro","Potencial hidráulico","15/10/2000","720.00","720","510","Não","-1","-1","","","100% para Cooperativa de Geração de Energia e Desenvolvimento (REG)","","Floriano Peixoto - RS"
"ABC","UTEPEMG030905-2","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/12/2011","184.00","184","0","Não","20° 44' 59,316"" S","44° 44' 9,528"" W","","","100% para Adição Distribuição Express Ltda. (REG)","","Oliveira - MG"
"ABC","UTEPEMG031170-7","MG","UTE","Operação","Fóssil","Petróleo","Registro","Óleo Diesel","01/08/2011","400.00","400","0","Não","20° 7' 25,392"" S","44° 55' 50,484"" W","","","100% para Adição Distribuição Express Ltda. (REG)","","Divinópolis - MG"
"Abdias Barbosa da Silva","UFVRSPA039325-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/01/2018","1.00","1","0","N/I","1°52'20,388""S","52°38'41,64""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abdilson Barbosa da Silva","UFVRSPA039381-9","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","14/01/2018","1.00","1","0","N/I","1°52'19,884""S","52°38'41,1""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abedias Mendes da Silva","UFVRSPA045425-7","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","30/08/2019","1.00","1","0","N/I","3° 55' 49,451"" S","49° 51' 11,664"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Tucuruí - PA"
"Abedias Pereira da Silva","UFVRSPA038417-8","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","26/10/2017","1.00","1","0","N/I","2°8'25,404""S","53°15'43,848""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abel da Silva Soares","UFVRSPA039660-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","20/01/2018","1.00","1","0","N/I","1° 52' 18,300"" S","52° 38' 22,776"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abelardo Junior Dos Santos Conceicao","UFVRSPA038673-1","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","08/11/2017","1.00","1","0","N/I","2°0'10,044""S","53°0'59,688""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abenaias Gomes da Silva","UFVRSPA039326-6","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","10/01/2018","1.00","1","0","N/I","1°42'53,064""S","52°45'6,12""W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abenilce Ribeiro da Silva","UFVRSPA039450-5","PA","UFV","Operação","Solar","Radiação solar","Registro","Radiação solar","07/03/2018","1.00","1","0","N/I","2° 4' 23,736"" S","52° 21' 18,000"" W","","","100% para EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A. (REG)","","Porto de Moz - PA"
"Abil","EOLCVBA031402-1","BA","EOL","Construção","Eólica","Cinética do vento","Autorização","Cinética do vento","-","23,700.00","0","11000","Não","14°16'40,171""S","42°32'36,477""W","20-03-2014","20-03-2049","100% para CENTRAIS EÓLICAS ABIL S.A. (PIE)","","Caetité - BA"
