"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)"
"1,396,200.00","1396200","731000"
"330,000.00","330000","181900"
"1,600.00","0","1060"
"240,000.00","243675","154400"
"210,000.00","210000","131700"
"2,056.00","2056","1100"
"831.00","831","360"
"1,000.00","1000","800"
"140,000.00","140544","84700"
"39,000.00","39000","22000"
"720.00","720","350"
"1,000.00","1000","600"
"358.40","358.4","130"
"460.00","460","260"
"12,400.00","12400","9010"
"2,900.00","2900","2630"
"302.40","302.4","70"
"2,340.00","2340","1220"
"920.00","920","640"
