"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"3 Alta","PCH","DRS-PCH","TO","7.67","do Peixinho","Tocantins, entre os rios Parana e do Sono","48500.001312/2015-11","875/2020","Soares Barros Engenharia - Eirel ","778","3/19/2020","2/16/2023","11°21'27""S","46°55'26""W"
"3JF","PCH","DRI-PCH","GO","8.5","Aporé","Paranaiba","48500.004157/2020-51","875/2020","3JF Participações Societárias Ltda. ","2.292","8/7/2020","10/7/2021","18°38'3""S","52°26'32""W"
"40 Ilhas","PCH","DRS-PCH","AM","8","Pitinga","Amazonas, entre os rios Madeira e Trombetas","48500.000124/2008-46","875/2020","Mineração Taboca S.A. ","3.343","10/3/2017","10/3/2020","0°53'21""S","59°35'2""W"
"A","PCH","DRS-PCH","MS","10","Sucuriú","Parana, Verde , Peixe, e outros","48500.001657/2012-21","875/2020","Energética das Emas Ltda. ","1.917","7/7/2020","","18°25'30,85""S","52°56'0""W"
"A. M. Dias","PCH","DRS-PCH","SC","5.2","Caveiras","Canoas","48500.002329/2012-42","875/2020","Pedras Brancas Geração de Energia S.A ","1.599","6/7/2017","6/7/2020","27°51'23,053""S","50°8'32,154""W"
"A41PA008 (Panama)","UHE","Registro Ativo","PA","870.4","Paru","Xingu e Paru","48500.006323/2014-14 E 48500.005280/2014-41","875/2020","Enel Brasil S.A. E  Zeta Energia S.A.","4744 (Pub: 10/12/2014) e 4104 (Pub: 13/10/2014)","","","01°02'34,49""S","53°09'40,45""W"
"Abelardo Luz","PCH","DRS-PCH","SC","29","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.003195/2006-68","875/2020","Elle Preto Adm.e Part. Comer. Imob. Ltda; Engevix Engenharia S.A.; ","880/2018 (Comunicado nº 04/2018)","","","26°33'29,15""S","52°20'23,13""W"
"Abelha Mirim","PCH","DRI-PCH","SC","7.7","Taió","Itajai","48500.003093/2019-38","875/2020","HIMASA – Heidrich Industrial Mercantil e Agrícola S.A ","1955","7/12/2019","9/12/2020","27°12'17,29""S","50°07'04,1""W"
"Açungui 2C","PCH","DRS-PCH","PR","13.1","Açungui","Ribeira do Iguape","48500.006595/2014-14","875/2020","Translead Empreendimentos e Incorporações Ltda. ","774","3/19/2020","12/13/2022","25°3'39""S","49°33'57""W"
"Açungui 2D","PCH","DRS-PCH","PR","12","Açungui","Ribeira do Iguape","48500.003382/2014-22","875/2020","Translead Empreendimentos e Incorporações Ltda. ","2.596","9/23/2019","9/2/2022","25°4'42,28""S","49°35'16,5""W"
