"Potência Outorgada (kW)","Potência Fiscalizada (kW)","Garantia Fisica (kW)"
"1396200","1396200","731000"
"330000","330000","181900"
"1600","0","1060"
"240000","243675","154400"
"210000","210000","131700"
"2056","2056","1100"
"831","831","360"
"1000","1000","800"
"140000","140544","84700"
"39000","39000","22000"
"720","720","350"
"1000","1000","600"
"358.4","358.4","130"
"460","460","260"
"12400","12400","9010"
"2900","2900","2630"
"300","300","0"
"1520","1520","0"
"4420","4420","0"
"302.4","302.4","70"
"975","975","0"
"500","500","0"
"2340","2340","1220"
"920","920","640"
"3375","3375","0"
"3757.5","3757.5","0"
"696","696","0"
"160","160","0"
"1250","1250","1010"
"7200","7200","2690"
"910","910","0"
"46000","46000","21000"
"920","920","0"
"550","550","400"
"2000","2000","0"
"4000","4000","1980"
"4194.4","4194.4","0"
"650","650","0"
"384","384","0"
"16","16","0"
"2100","0","1360"
"60.35","60.35","0"
"1472","1472","0"
"428","428","270"
"312.08","312.08","0"
"5040","5040","3590"
"1120","1120","0"
"850","850","0"
"24","24","0"
"800","800","0"
"999.12","999.12","0"
"999","999","530"
"1400.24","1400.24","0"
"1000","1000","530"
"2408","2408","1030"
"4770","4770","0"
"990","990","0"
"824","824","0"
"922","922","0"
"500","500","0"
"3000","3000","0"
"560","560","320"
"1192000","1192000","499700"
"6970","6970","3030"
"500","500","220"
"180000","180000","84600"
"540","540","0"
"4230","4230","0"
"1216000","1216000","582000"
"14000","14000","6680"
"13800","11360","7000"
"620.4","620.4","0"
"140000","140040","68400"
"800","800","450"
"2560","2560","0"
"1260","1260","0"
"1000","1000","790"
"399000","399000","207900"
"500","500","0"
"4040","4040","2990"
"2082000","2082000","964300"
"52000","52000","28000"
"796","796","0"
"720","720","570"
"21600","22020","10440"
"1569.99","1569.99","0"
"1000","1000","680"
"8400","8400","5200"
"607.75","607.75","0"
"680","680","0"
"999","999","0"
"848","848","0"
"1200","1200","0"
"1260","1260","0"
"256","256","210"
"1250","1250","960"
"630","630","0"
"476000","492100","289500"
"1575","1575","0"
"1440000","1440000","689700"
"4000","4000","2740"
"7700","7700","1840"
"2032","2032","0"
"416","416","390"
"640","640","30"
"736","736","110"
"1260","1260","0"
"408000","408000","198200"
"100","100","0"
"736","736","0"
"7360","7360","0"
"970","970","0"
"680","680","0"
"190","190","0"
"6468","6468","4660"
"510000","510000","270100"
"3000","3000","1940"
"73.04","73.04","0"
"450","450","0"
"1400","1400","0"
"500","500","0"
"4080","4080","2360"
"5000","2944","3650"
"300","300","0"
"765","765","0"
"1000","1000","0"
"800","800","0"
"8780","8860","0"
"9400","9400","6180"
"18012","18012","13530"
"50000","50000","30800"
"636","636","0"
"528","528","240"
"1260","1260","0"
"800","800","550"
"1456","1456","0"
"800","800","0"
"1000","1000","0"
"880","880","730"
"320000","320000","186000"
"112000","112000","61800"
"105000","105450","67900"
"83657","83657","36600"
"180","180","110"
"140000","140000","65300"
"768","768","110"
"78000","78000","56100"
"102000","102000","75000"
"1100","1100","650"
"424","424","150"
"60000","60000","28000"
"1000","1000","580"
"1000","1000","670"
"1600","1600","1070"
"3000","0","1820"
"988.8","988.8","900"
"3000","3000","1570"
"1416","1416","350"
"60000","60000","37800"
"2120","2120","530"
"396000","396000","239000"
"8500","8500","3390"
"800","800","0"
"1616","1616","0"
"1000","1000","0"
"3200","3200","0"
"256,"256","210"
